0.48	0.438	21.002
0.388	0.339	33.909
0.311	0.253	39.61
0.25	0.186	41.086
0.205	0.14	41.683
0.168	0.108	43.619
0.14	0.088	43.782
0.115	0.072	43.641
0.095	0.06	46.247
0.077	0.048	46.435
0.454	0.416	22.182
0.378	0.332	34.381
0.3	0.248	42.611
0.233	0.178	44.999
0.186	0.136	46.075
0.137	0.097	48.536
0.085	0.059	49.13
0.051	0.035	49.296
0.033	0.023	52.509
0.017	0.012	52.802
0.373	0.335	32.722
0.337	0.291	40.312
0.279	0.229	44.332
0.23	0.172	44.38
0.182	0.13	44.215
0.131	0.091	45.959
0.092	0.064	46.008
0.071	0.049	45.739
0.06	0.043	48.701
0.053	0.037	48.868
0.454	0.416	19.363
0.379	0.33	36.259
0.28	0.231	44.016
0.194	0.15	44.415
0.125	0.09	44.245
0.077	0.051	45.987
0.043	0.026	46.036
0.022	0.012	45.766
0.011	0.006	48.729
0.006	0.003	48.902
0.398	0.36	36.722
0.313	0.265	44.312
0.234	0.184	48.332
0.172	0.122	48.38
0.125	0.077	48.215
0.088	0.045	49.959
0.059	0.024	50.008
0.042	0.016	49.739
0.031	0.012	52.701
0.021	0.007	52.868
0.394	0.348	20.244
0.33	0.282	38.492
0.239	0.183	47.24
0.156	0.099	48.322
0.067	0.026	48.163
0.071	0.03	49.906
0.072	0.032	49.944
0.072	0.032	49.668
0.072	0.034	52.639
0.071	0.036	52.805
0.471	0.43	17.708
0.377	0.327	33.792
0.272	0.215	44.975
0.182	0.13	48.158
0.122	0.079	48.244
0.083	0.05	49.987
0.038	0.022	50.036
0.011	0.006	49.766
0.003	0.001	52.729
0.001	0.001	52.902
0.417	0.373	29.055
0.331	0.287	38.891
0.243	0.202	45.276
0.178	0.14	47.462
0.137	0.102	47.908
0.115	0.082	49.875
0.099	0.069	49.907
0.082	0.056	49.75
0.064	0.043	52.727
0.046	0.029	52.901
0.268	0.213	-1
0.214	0.165	-1
0.155	0.113	-1
0.121	0.083	-1
0.088	0.056	-1
0.065	0.039	-1
0.049	0.028	-1
0.034	0.019	-1
0.029	0.016	-1
0.008	0.004	-1
